oa_code,All people,Very good health,Good health,Fair health,Bad health,Very bad health
S00089528,91,30,34,20,7,-
S00089529,118,49,41,16,6,6
S00089530,67,36,19,10,2,-
S00089531,82,28,34,12,5,3
S00089532,110,55,34,15,4,2
S00089533,79,35,30,8,4,2
S00089534,120,46,51,19,3,1
S00089535,86,32,41,5,6,2
S00089536,114,41,42,23,6,2
S00089537,76,36,22,11,6,1
S00089538,88,39,24,14,7,4
S00089539,79,32,30,10,6,1
S00089540,97,51,32,10,4,-
S00089541,96,43,30,16,3,4
S00089542,124,79,34,9,1,1
S00089543,80,24,28,18,7,3
S00089544,102,45,46,8,3,-
S00089545,62,5,14,24,19,-
S00089546,107,61,36,8,2,-
S00089547,143,66,45,18,14,-
S00089548,161,74,65,15,4,3
S00089549,98,30,41,19,6,2
S00089550,101,52,35,8,5,1
S00089551,76,23,22,21,7,3
S00089552,77,46,23,6,2,-
S00089553,101,28,26,29,17,1
S00089554,69,22,35,9,2,1
S00089555,141,69,48,17,6,1
S00089556,80,40,33,6,1,-
S00089557,138,72,40,21,4,1
S00089558,125,77,35,8,5,-
S00089559,154,83,52,14,4,1
S00089560,78,36,28,9,4,1
S00089561,101,42,44,10,3,2
S00089562,111,51,37,16,7,-
S00089563,76,40,19,11,4,2
S00089564,98,52,32,11,2,1
S00089565,147,85,36,20,4,2
S00089566,140,77,44,15,2,2
S00089567,174,102,51,12,8,1
S00089568,177,87,66,14,8,2
S00089569,111,38,32,31,9,1
S00089570,137,82,36,14,4,1
S00089571,150,93,45,8,4,-
S00089572,76,33,28,10,4,1
S00089573,103,60,31,5,7,-
S00089574,80,53,22,3,2,-
S00089575,72,30,36,6,-,-
S00089576,126,77,39,7,2,1
S00089577,89,48,25,9,7,-
S00089578,109,61,29,11,6,2
S00089579,88,46,33,5,2,2
S00089580,109,61,39,8,1,-
S00089581,89,44,30,8,5,2
S00089582,120,43,66,8,1,2
S00089583,134,37,57,26,12,2
S00089584,66,21,24,12,8,1
S00089585,131,76,37,11,5,2
S00089586,108,62,33,6,4,3
S00089587,69,33,20,13,1,2
S00089588,88,38,30,14,5,1
S00089589,87,37,35,11,3,1
S00089590,107,49,40,13,5,-
S00089591,120,52,42,18,7,1
S00089592,95,37,40,10,7,1
S00089593,120,49,46,16,9,-
S00089594,82,50,22,7,2,1
S00089595,143,73,48,17,5,-
S00089596,100,57,27,11,5,-
S00089597,128,55,48,15,10,-
S00089598,58,26,20,9,3,-
S00089599,130,82,27,10,10,1
S00089600,53,19,21,10,2,1
S00089601,71,31,28,9,2,1
S00089602,123,53,48,13,7,2
S00089603,91,44,24,14,7,2
S00089604,75,41,18,11,3,2
S00089605,139,54,62,16,5,2
S00089606,125,68,31,16,10,-
S00089607,148,100,43,4,-,1
S00089608,61,13,18,21,5,4
S00089609,105,47,48,6,2,2
S00089610,134,66,36,19,9,4
S00089611,85,29,26,18,9,3
S00089612,93,41,33,10,7,2
S00089613,62,28,16,7,10,1
S00089614,175,97,51,21,6,-
S00089615,122,48,39,26,8,1
S00089616,125,47,57,15,6,-
S00089617,156,65,72,15,4,-
S00089618,118,68,41,5,4,-
S00089619,132,68,52,8,3,1
S00089620,153,63,69,17,3,1
S00089621,51,5,17,17,9,3
S00089622,84,35,31,13,5,-
S00089623,104,44,38,16,5,1
S00089624,75,45,25,3,1,1
S00089625,112,75,30,7,-,-
S00089626,157,103,46,6,2,-
S00089627,70,33,29,7,-,1
S00089628,112,64,37,10,-,1
S00089629,169,99,55,11,3,1
S00089630,107,58,33,10,5,1
S00089631,115,49,45,11,7,3
S00089632,111,73,28,8,2,-
S00089633,409,267,114,20,8,-
S00089634,105,57,35,9,4,-
S00089635,60,44,14,1,1,-
S00089636,124,71,38,11,3,1
S00089637,60,37,19,2,1,1
S00089638,101,65,21,12,3,-
S00089639,94,59,30,3,-,2
S00089640,122,78,32,8,3,1
S00089641,61,30,21,10,-,-
S00089642,68,47,16,3,2,-
S00089643,132,88,35,5,3,1
S00089644,181,99,59,16,5,2
S00089645,160,76,59,21,3,1
S00089646,131,52,36,32,8,3
S00089647,148,103,38,5,2,-
S00089648,66,51,12,2,1,-
S00089649,107,53,30,15,5,4
S00089650,134,77,42,13,1,1
S00089651,400,272,109,16,2,1
S00089652,145,90,44,10,1,-
S00089653,114,77,28,9,-,-
S00089654,103,78,21,4,-,-
S00089655,84,54,25,4,-,1
S00089656,85,59,23,3,-,-
S00089657,73,38,26,9,-,-
S00089658,121,71,38,10,1,1
S00089659,218,136,66,16,-,-
S00089660,129,76,43,7,3,-
S00089661,126,70,28,20,7,1
S00089662,95,54,26,9,6,-
S00089663,117,71,33,8,3,2
S00089664,68,31,27,7,3,-
S00089665,102,63,34,4,1,-
S00089666,90,59,26,4,1,-
S00089667,60,31,19,7,2,1
S00089668,89,31,37,18,3,-
S00089669,134,89,38,7,-,-
S00089670,74,55,16,2,1,-
S00089671,316,207,90,15,4,-
S00089672,116,39,32,31,14,-
S00089673,100,12,45,33,7,3
S00089674,138,87,40,7,4,-
S00089675,136,96,37,3,-,-
S00089676,70,28,32,7,2,1
S00089677,120,80,32,7,1,-
S00089678,69,40,21,6,1,1
S00089679,138,69,54,12,2,1
S00089680,118,57,43,13,4,1
S00089681,145,88,46,9,1,1
S00089682,64,38,21,5,-,-
S00089683,78,54,20,3,1,-
S00089684,77,44,25,4,3,1
S00089685,120,81,23,12,3,1
S00089686,63,45,14,4,-,-
S00089687,80,52,23,5,-,-
S00089688,99,54,34,8,1,2
S00089689,58,18,23,13,2,2
S00089690,151,83,55,10,2,1
S00089691,135,75,36,17,5,2
S00089692,59,39,15,5,-,-
S00089693,65,42,17,6,-,-
S00089694,116,91,23,2,-,-
S00089695,118,67,42,8,1,-
S00089696,138,97,31,8,2,-
S00089697,86,66,17,1,2,-
S00089698,103,69,28,3,2,1
S00089699,74,47,23,1,2,1
S00089700,120,79,31,9,1,-
S00089701,85,48,26,9,1,1
S00089702,73,42,28,1,2,-
S00089703,145,111,26,5,3,-
S00089704,115,84,24,2,2,3
S00089705,112,75,30,2,5,-
S00089706,136,101,28,6,1,-
S00089707,97,30,24,21,16,6
S00089708,57,27,15,11,4,-
S00089709,93,55,30,6,1,1
S00089710,132,67,33,21,7,4
S00089711,139,68,45,23,2,1
S00089712,113,70,33,9,1,-
S00089713,105,60,35,8,2,-
S00089714,154,118,27,7,-,2
S00089715,103,74,26,3,-,-
S00089716,128,21,47,48,11,1
S00089717,128,78,40,7,3,-
S00089718,168,126,30,10,2,-
S00089719,189,126,49,10,3,1
S00089720,167,120,40,7,-,-
S00089721,179,121,49,9,-,-
S00089722,95,64,22,6,2,1
S00089723,58,42,15,-,1,-
S00089724,86,61,21,3,1,-
S00089725,96,62,31,1,-,2
S00089726,121,82,25,10,4,-
S00089727,100,62,25,10,3,-
S00089728,92,45,35,11,-,1
S00089729,148,98,40,7,3,-
S00089730,78,43,28,6,1,-
S00089731,113,84,23,4,2,-
S00089732,158,84,42,21,8,3
S00089733,100,64,28,6,2,-
S00089734,94,49,30,11,2,2
S00089735,75,53,15,5,2,-
S00089736,84,63,18,2,1,-
S00089737,86,51,25,9,1,-
S00089738,71,44,23,3,1,-
S00089739,91,55,26,9,1,-
