oa_code,All people,Church of Scotland,Roman Catholic,Other Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
S00105971,171,59,7,22,-,-,-,-,-,-,66,17
S00105972,150,60,14,15,-,-,-,-,-,-,53,8
S00105973,142,49,13,21,-,-,-,-,-,-,54,5
S00105974,93,41,3,2,1,-,-,-,-,-,39,7
S00105975,101,45,5,6,-,1,-,2,-,-,37,5
S00105976,115,43,2,7,-,-,-,-,-,-,58,5
S00105977,73,39,4,4,-,-,-,-,-,-,24,2
S00105978,124,56,3,4,-,-,-,-,-,1,57,3
S00105979,126,33,6,12,-,-,-,-,-,-,66,9
S00105980,152,55,8,27,-,3,-,-,-,-,46,13
S00105981,149,74,11,16,-,-,1,-,1,-,44,2
S00105982,200,95,27,21,-,-,-,-,-,-,45,12
S00105983,130,59,3,19,-,-,-,-,-,-,42,7
S00105984,111,52,9,9,-,-,-,-,-,-,31,10
S00105985,73,31,6,1,-,5,-,-,-,-,27,3
S00105986,179,58,16,19,-,-,-,-,-,-,74,12
S00105987,123,45,13,11,-,-,1,-,-,-,45,8
S00105988,120,56,8,16,-,-,-,-,-,-,31,9
S00105989,112,46,9,13,-,-,-,-,-,-,34,10
S00105990,114,34,-,15,-,-,-,-,-,1,56,8
S00105991,59,15,4,5,-,-,-,-,-,-,32,3
S00105992,139,64,15,8,-,-,-,-,11,-,32,9
S00105993,60,25,4,4,-,-,-,-,-,-,26,1
S00105994,142,63,20,2,-,-,-,1,-,-,54,2
S00105995,131,64,13,3,-,-,-,17,-,-,26,8
S00105996,158,84,26,1,3,-,-,9,-,-,34,1
S00105997,141,54,17,5,-,-,-,2,-,-,55,8
S00105998,106,40,18,2,-,-,-,-,-,-,38,8
S00105999,191,59,32,11,-,-,1,11,-,2,64,11
S00106000,186,82,20,2,-,-,-,5,-,-,63,14
S00106001,130,66,21,4,-,-,-,-,-,2,31,6
S00106002,108,50,11,4,-,-,-,-,-,-,35,8
S00106003,91,31,13,5,-,-,-,-,-,3,28,11
S00106004,101,28,20,2,-,-,-,17,7,-,22,5
S00106005,95,24,19,3,-,-,-,-,-,-,39,10
S00106006,103,32,17,10,-,-,-,4,5,2,30,3
S00106007,132,57,25,4,-,-,-,-,-,-,36,10
S00106008,109,23,12,3,-,-,-,-,-,-,62,9
S00106009,97,42,9,-,-,2,-,11,-,-,26,7
S00106010,57,15,17,-,-,-,1,-,-,-,23,1
S00106011,219,59,26,15,1,-,-,7,-,-,89,22
S00106012,157,55,17,5,1,-,-,10,-,-,64,5
S00106013,143,39,33,7,-,-,-,5,-,-,56,3
S00106014,105,14,22,2,-,-,-,2,-,1,56,8
S00106015,162,37,26,8,-,-,-,-,-,1,82,8
S00106016,105,16,20,6,-,-,-,5,-,-,54,4
S00106017,116,15,9,5,1,-,-,3,-,-,71,12
S00106018,162,22,28,16,1,-,-,4,-,1,90,-
S00106019,82,19,9,3,2,-,-,-,-,-,43,6
S00106020,99,25,12,4,-,-,-,-,-,-,54,4
S00106021,118,26,20,2,-,-,-,-,-,-,66,4
S00106022,63,13,7,1,-,-,-,7,-,1,27,7
S00106023,82,16,12,10,-,-,-,2,-,-,37,5
S00106024,111,24,20,3,-,-,-,1,-,-,57,6
S00106025,108,23,13,3,-,-,-,1,-,-,62,6
S00106026,109,15,27,9,1,-,-,1,-,-,47,9
S00106027,84,14,14,4,1,-,-,-,-,-,46,5
S00106028,102,44,12,6,-,-,-,-,-,1,28,11
S00106029,104,35,20,4,-,-,-,-,-,-,41,4
S00106030,104,14,13,10,-,-,-,1,-,2,57,7
S00106031,84,9,10,2,-,-,-,1,-,2,52,8
S00106032,87,27,12,2,-,-,-,-,-,-,43,3
S00106033,75,6,14,1,-,-,1,-,-,-,43,10
S00106034,136,51,16,7,-,-,-,-,-,1,51,10
S00106035,105,8,6,7,1,-,-,-,-,-,75,8
S00106036,113,29,21,6,-,-,-,3,1,-,39,14
S00106037,126,10,24,13,-,-,-,-,-,-,69,10
S00106038,76,9,7,4,-,-,-,-,-,-,52,4
S00106039,129,13,10,7,-,-,-,2,-,2,90,5
S00106040,112,39,16,1,-,-,-,18,-,-,32,6
S00106041,112,55,10,1,-,-,-,-,-,-,35,11
S00106042,65,11,19,4,-,-,-,-,5,-,25,1
S00106043,77,22,3,-,4,-,-,11,-,-,27,10
S00106044,142,53,16,9,-,-,-,-,-,-,62,2
S00106045,91,27,10,3,1,-,-,1,1,1,46,1
S00106046,131,62,9,3,-,-,-,-,-,-,49,8
S00106047,102,33,21,6,-,-,-,-,-,-,35,7
S00106048,72,8,6,7,-,-,-,-,-,-,47,4
S00106049,86,17,11,2,-,-,1,-,-,-,49,6
S00106050,193,31,14,7,-,-,-,10,-,1,113,17
S00106051,114,39,11,12,1,-,-,-,-,-,48,3
S00106052,74,11,10,-,-,-,-,-,-,-,50,3
S00106053,167,27,15,20,-,-,-,5,-,3,82,15
S00106054,194,59,18,9,-,-,-,17,-,1,63,27
S00106055,149,34,8,10,-,-,-,-,-,-,90,7
S00106056,140,43,10,6,-,-,-,1,-,-,73,7
S00106057,137,22,17,9,4,-,-,-,-,-,72,13
S00106058,99,37,18,3,-,-,-,-,-,-,33,8
S00106059,95,35,13,2,-,-,-,-,-,-,39,6
S00106060,111,32,5,13,-,-,-,-,-,-,52,9
S00106061,99,40,18,4,-,-,-,-,-,-,35,2
S00106062,136,33,18,1,1,-,-,-,-,-,74,9
S00106063,153,42,30,3,-,-,-,8,-,-,61,9
S00106064,100,46,6,3,-,-,-,-,-,-,36,9
S00106065,145,52,24,13,-,-,-,-,-,-,48,8
S00106066,99,46,4,-,-,-,-,-,-,4,40,5
S00106067,104,38,15,6,2,-,-,-,-,1,33,9
S00106068,100,41,20,4,-,-,-,-,-,-,22,13
S00106069,156,51,22,11,1,-,1,2,-,-,53,15
S00106070,138,44,10,7,-,5,-,-,-,-,61,11
S00106071,115,25,17,5,-,-,-,-,-,-,61,7
S00106072,93,15,9,3,1,-,2,4,-,-,51,8
S00106073,90,32,17,-,-,-,-,-,-,1,32,8
