oa_code,All households,One person household: Aged 65 and over,One person household: Aged under 65,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: With dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: With dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent: With dependent children,One family only: Lone parent: All children non-dependent,Other households: With dependent children,Other households: All full-time students,Other households: All aged 65 and over,Other households: Other
S00089264,77,8,29,2,10,7,3,11,1,-,-,2,-,1,-,3
S00089265,56,2,32,-,2,2,-,11,-,-,3,-,-,4,-,-
S00089266,59,2,34,1,2,6,1,7,3,-,-,1,-,-,-,2
S00089267,53,1,29,1,3,-,-,12,-,-,-,-,-,4,-,3
S00089268,71,-,43,-,3,8,-,13,2,-,-,-,-,1,-,1
S00089269,62,6,29,-,2,4,1,9,4,-,1,3,-,-,-,3
S00089270,80,8,41,2,6,4,1,12,2,-,1,-,-,-,-,3
S00089271,38,5,8,-,4,9,4,2,2,-,1,2,-,-,-,1
S00089272,26,-,4,3,2,8,1,3,-,-,-,-,1,-,-,4
S00089273,62,2,33,1,6,3,-,8,-,-,2,1,1,2,-,3
S00089274,64,4,23,-,5,8,2,11,1,1,-,2,1,1,-,5
S00089275,53,41,1,8,2,-,-,-,-,-,-,1,-,-,-,-
S00089276,41,1,28,1,4,1,-,4,-,-,-,-,1,-,-,1
S00089277,72,4,11,10,8,15,7,4,2,-,2,5,-,1,-,3
S00089278,53,38,2,11,-,-,-,-,-,-,-,-,-,-,1,1
S00089279,30,2,11,-,6,7,1,2,-,-,-,1,-,-,-,-
S00089280,27,3,5,2,5,5,1,1,2,-,1,1,-,-,-,1
S00089281,41,3,16,-,3,3,-,6,-,1,-,1,1,3,1,3
S00089282,27,3,3,-,7,8,2,1,1,-,2,-,-,-,-,-
S00089283,31,5,10,1,5,2,1,3,1,-,2,-,-,-,-,1
S00089284,51,8,7,10,10,3,3,3,2,1,-,3,-,-,-,1
S00089285,79,5,36,2,10,4,3,9,-,-,1,2,-,2,1,4
S00089286,68,3,38,-,2,1,-,7,1,-,2,1,1,5,-,7
S00089287,71,39,16,11,3,-,-,-,-,-,-,1,-,-,1,-
S00089288,48,7,10,7,3,6,2,-,1,-,5,4,-,2,-,1
S00089289,47,7,3,5,3,5,7,1,7,-,1,4,2,-,1,1
S00089290,31,7,5,2,7,3,-,2,3,-,-,-,-,-,-,2
S00089291,41,9,4,5,4,9,2,1,2,-,1,2,-,-,-,2
S00089292,42,11,4,6,4,6,1,3,-,-,-,3,1,2,-,1
S00089293,77,10,23,-,7,5,2,4,7,-,6,4,1,6,-,2
S00089294,67,2,12,2,10,9,1,6,1,-,5,1,1,10,-,7
S00089295,72,10,6,3,10,8,10,1,5,-,10,5,1,1,-,2
S00089296,66,8,7,7,5,6,8,4,3,-,2,6,3,3,1,3
S00089297,50,8,17,2,2,3,2,-,3,1,4,3,-,-,-,5
S00089298,48,9,9,2,4,3,5,3,-,-,2,1,-,2,1,7
