oa_code,All occupied household spaces,No central heating,Gas central heating,Electric (including storage heaters) central heating,Oil central heating,Solid fuel (for example wood coal) central heating,Other central heating,Two or more types of central heating
S00089475,43,5,28,7,0,0,0,3
S00089476,37,2,30,4,0,0,0,1
S00089477,58,5,31,21,0,0,0,1
S00089478,54,7,38,9,0,0,0,0
S00089479,42,6,28,8,0,0,0,0
S00089480,40,0,23,16,0,0,0,1
S00089481,61,0,57,2,0,0,0,2
S00089482,48,9,30,9,0,0,0,0
S00089483,46,4,27,14,0,0,0,1
S00089484,63,2,56,3,0,0,0,2
S00089485,42,4,30,7,0,0,0,1
S00089486,72,0,67,1,0,0,0,4
S00089487,55,2,47,2,0,0,0,4
S00089488,63,0,61,2,0,0,0,0
S00089489,79,0,74,5,0,0,0,0
S00089490,79,7,59,11,0,0,0,2
S00089491,46,0,39,5,0,0,0,2
S00089492,51,1,46,3,0,0,1,0
S00089493,40,1,31,7,0,0,0,1
S00089494,51,1,43,4,0,0,0,3
S00089495,43,0,39,4,0,0,0,0
S00089496,48,0,45,2,0,0,0,1
S00089497,70,5,50,12,0,0,0,3
S00089498,57,0,48,2,0,0,1,6
S00089499,36,0,34,0,0,0,0,2
S00089500,46,2,38,4,1,0,0,1
S00089501,68,1,63,2,0,0,0,2
S00089502,65,2,61,1,0,0,0,1
S00089503,56,4,25,14,0,0,13,0
S00089504,52,5,18,19,0,0,10,0
S00089505,50,0,21,14,0,0,14,1
S00089506,48,3,2,41,0,0,2,0
S00089507,52,4,3,43,0,0,1,1
S00089508,53,0,49,1,0,0,0,3
S00089509,31,1,24,3,0,0,0,3
S00089510,55,0,51,2,0,0,1,1
S00089511,44,1,38,3,0,0,0,2
S00089512,42,0,39,1,0,0,1,1
S00089513,63,0,42,20,0,0,0,1
S00089514,40,0,38,2,0,0,0,0
S00089515,62,3,46,12,0,0,1,0
S00089516,64,5,26,31,0,0,1,1
S00089517,52,3,25,20,1,0,2,1
S00089518,101,4,7,89,0,0,0,1
S00089519,53,0,52,1,0,0,0,0
S00089520,42,1,41,0,0,0,0,0
S00089521,71,0,47,23,0,0,0,1
S00089522,52,0,51,1,0,0,0,0
S00089523,47,0,44,2,0,0,1,0
S00089524,56,0,54,1,0,0,0,1
S00089525,39,0,35,1,0,0,1,2
S00089526,75,0,20,53,0,0,0,2
S00089527,75,2,18,54,0,1,0,0
S00089528,64,2,52,7,0,0,0,3
S00089529,58,1,53,3,0,1,0,0
S00089530,36,2,28,5,0,0,0,1
S00089531,44,1,41,2,0,0,0,0
S00089532,58,1,51,4,0,0,0,2
S00089533,40,0,37,3,0,0,0,0
S00089534,59,0,53,4,0,0,0,2
S00089535,42,0,39,2,0,0,0,1
S00089536,64,0,60,3,0,0,0,1
S00089537,37,0,34,2,0,0,0,1
S00089538,38,2,35,1,0,0,0,0
S00089539,41,0,37,3,1,0,0,0
S00089540,48,1,44,2,0,0,0,1
S00089541,44,2,39,2,0,0,0,1
S00089542,83,7,7,69,0,0,0,0
S00089543,54,1,47,1,0,0,0,5
S00089544,52,0,42,7,0,0,0,3
S00089545,55,1,1,53,0,0,0,0
S00089546,47,3,36,8,0,0,0,0
S00089547,69,0,66,3,0,0,0,0
S00089548,104,3,90,4,0,0,1,6
S00089549,61,0,58,3,0,0,0,0
S00089550,50,0,48,1,0,0,0,1
S00089551,60,2,42,13,0,0,0,3
S00089552,35,0,31,2,0,0,0,2
S00089553,36,2,6,28,0,0,0,0
S00089554,41,4,29,6,0,0,0,2
S00089555,71,2,61,6,0,0,0,2
S00089556,46,4,33,7,0,2,0,0
S00089557,95,3,69,21,0,0,1,1
S00089558,58,2,50,3,0,0,0,3
S00089559,70,2,63,3,1,0,0,1
S00089560,53,5,37,9,0,0,1,1
S00089561,41,0,38,0,0,0,0,3
S00089562,62,0,56,4,0,0,0,2
