oa_code,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S00089580,83,45,27,-,-,9,2
S00089581,64,24,30,-,4,5,1
S00089582,91,45,39,-,1,6,-
S00089583,118,57,33,-,3,16,9
S00089584,56,22,13,-,5,13,3
S00089585,103,45,42,-,1,11,4
S00089586,88,56,22,2,2,4,2
S00089587,62,28,17,-,2,7,8
S00089588,80,13,54,-,1,7,5
S00089589,78,13,50,-,5,6,4
S00089590,100,36,50,-,-,9,5
S00089591,99,37,49,-,-,9,4
S00089592,75,35,24,-,2,9,5
S00089593,93,35,33,-,7,9,9
S00089594,59,29,25,-,-,4,1
S00089595,121,53,52,-,1,10,5
S00089596,93,44,40,2,2,4,1
S00089597,84,36,24,-,7,15,2
S00089598,50,23,14,-,4,7,2
S00089599,101,44,36,-,4,14,3
S00089600,43,20,13,-,1,7,2
S00089601,62,32,20,-,1,6,3
S00089602,100,47,25,-,5,18,5
S00089603,82,37,26,-,2,10,7
S00089604,70,34,20,-,5,8,3
S00089605,119,61,38,-,3,11,6
S00089606,100,52,28,-,4,14,2
S00089607,104,49,44,-,4,5,2
S00089608,57,20,14,-,3,12,8
S00089609,77,33,34,-,5,4,1
S00089610,107,46,38,2,5,13,3
S00089611,77,37,10,1,4,20,5
S00089612,77,27,35,-,3,9,3
S00089613,61,22,22,-,3,6,8
S00089614,136,61,49,-,6,19,1
S00089615,102,36,45,-,3,11,7
S00089616,96,51,21,-,8,13,3
S00089617,114,50,42,-,5,16,1
S00089618,91,57,13,-,5,13,3
S00089619,104,55,30,-,5,12,2
S00089620,113,57,35,-,6,12,3
S00089621,51,1,13,-,3,13,21
S00089622,76,30,27,-,3,7,9
S00089623,89,27,44,-,3,7,8
S00089624,73,41,23,-,2,4,3
S00089625,93,47,36,-,2,1,7
S00089626,152,130,10,-,1,3,8
S00089627,69,58,4,-,1,5,1
S00089628,108,92,9,-,1,4,2
S00089629,123,79,26,-,5,10,3
S00089630,66,25,35,-,5,1,-
S00089631,88,55,26,-,-,7,-
S00089632,86,56,21,-,1,7,1
S00089633,386,336,31,-,6,11,2
S00089634,100,50,40,-,1,2,7
S00089635,60,50,6,-,2,2,-
S00089636,112,47,51,-,-,6,8
S00089637,59,43,11,-,-,4,1
S00089638,97,73,15,2,1,3,3
S00089639,92,70,17,-,-,3,2
S00089640,117,80,26,-,3,6,2
S00089641,58,44,8,-,1,3,2
S00089642,59,35,16,-,3,3,2
S00089643,112,79,17,-,3,9,4
S00089644,133,65,48,-,6,11,3
S00089645,120,66,35,-,8,7,4
S00089646,125,61,32,-,7,11,14
S00089647,139,106,23,-,-,6,4
S00089648,60,47,10,-,-,2,1
S00089649,97,60,20,-,2,8,7
S00089650,119,86,23,-,3,3,4
S00089651,377,306,48,1,5,10,7
S00089652,140,109,19,-,1,6,5
S00089653,107,87,13,-,2,4,1
S00089654,96,74,17,-,-,4,1
S00089655,78,59,13,-,2,-,4
