oa_zones,All people aged 16 and over: Total,All people aged 16 and over: No qualifications,All people aged 16 and over: Level 1,All people aged 16 and over: Level 2,All people aged 16 and over: Level 3,All people aged 16 and over: Level 4 and above
S00089613,61,26,4,16,2,13
S00089614,136,27,47,9,21,32
S00089615,102,35,44,6,5,12
S00089616,96,33,21,1,18,23
S00089617,114,27,26,12,18,31
S00089618,91,20,37,9,6,19
S00089619,104,26,38,6,9,25
S00089620,113,30,30,15,24,14
S00089621,51,37,5,4,1,4
S00089622,76,30,24,5,4,13
S00089623,89,38,32,9,2,8
S00089624,73,6,10,24,4,29
S00089625,93,16,13,24,5,35
S00089626,152,8,13,64,6,61
S00089627,69,6,6,17,9,31
S00089628,108,7,16,34,11,40
S00089629,123,20,29,25,10,39
S00089630,66,14,15,11,3,23
S00089631,88,26,21,16,8,17
S00089632,86,14,28,16,6,22
S00089633,386,30,30,158,19,149
S00089634,100,15,14,23,3,45
S00089635,60,1,3,21,6,29
S00089636,112,18,17,26,14,37
S00089637,59,5,5,13,9,27
S00089638,97,6,17,34,6,34
S00089639,92,10,6,13,14,49
S00089640,117,10,15,32,12,48
S00089641,58,3,5,17,3,30
S00089642,59,6,7,9,3,34
S00089643,112,17,17,29,12,37
S00089644,133,26,41,11,22,33
S00089645,120,21,23,23,14,39
S00089646,125,40,27,19,5,34
S00089647,139,4,7,42,21,65
S00089648,60,4,6,17,4,29
S00089649,97,30,22,18,7,20
S00089650,119,13,12,47,8,39
S00089651,377,14,43,154,20,146
S00089652,140,5,16,62,13,44
S00089653,107,4,13,22,15,53
S00089654,96,6,9,35,4,42
S00089655,78,6,5,36,1,30
S00089656,79,1,7,11,9,51
S00089657,63,5,11,22,4,21
S00089658,121,7,10,45,11,48
S00089659,215,9,22,109,21,54
S00089660,114,11,17,44,11,31
S00089661,123,15,21,25,14,48
S00089662,91,9,14,30,10,28
S00089663,114,6,12,25,14,57
S00089664,64,15,7,20,5,17
S00089665,97,4,17,30,16,30
S00089666,87,0,8,19,9,51
S00089667,59,6,16,11,8,18
S00089668,85,26,20,12,7,20
S00089669,131,3,15,32,16,65
S00089670,71,1,14,25,6,25
S00089671,308,7,31,162,32,76
S00089672,110,35,43,8,8,16
S00089673,99,59,15,3,6,16
S00089674,130,12,20,20,10,68
S00089675,130,0,2,30,15,83
S00089676,67,5,10,11,11,30
S00089677,114,8,16,23,20,47
S00089678,60,8,6,13,5,28
S00089679,131,20,22,22,18,49
S00089680,115,13,24,23,10,45
S00089681,140,13,17,55,7,48
S00089682,59,3,5,11,5,35
S00089683,76,7,11,20,6,32
S00089684,72,9,8,13,8,34
S00089685,111,13,16,21,17,44
S00089686,59,2,12,20,3,22
S00089687,71,1,18,12,2,38
S00089688,88,16,14,26,5,27
S00089689,58,18,15,8,3,14
S00089690,139,22,24,27,11,55
S00089691,119,29,29,18,10,33
S00089692,52,6,1,16,3,26
S00089693,60,7,11,14,5,23
S00089694,101,2,10,15,13,61
S00089695,103,12,14,19,15,43
S00089696,123,12,18,19,9,65
S00089697,68,4,14,12,5,33
S00089698,93,5,9,22,13,44
S00089699,68,4,12,19,10,23
S00089700,107,11,17,20,10,49
S00089701,74,11,8,9,4,42
S00089702,66,6,16,15,10,19
S00089703,113,9,9,11,15,69
S00089704,93,6,11,8,9,59
S00089705,95,8,16,13,10,48
S00089706,106,4,16,8,7,71
S00089707,85,31,27,9,6,12
S00089708,51,14,11,4,8,14
S00089709,77,4,11,7,8,47
S00089710,119,33,32,17,8,29
S00089711,117,37,32,10,10,28
S00089712,100,13,12,13,14,48
S00089713,89,8,12,9,12,48
S00089714,125,9,19,13,11,73
S00089715,74,2,11,2,9,50
S00089716,127,67,19,5,10,26
S00089717,107,17,17,10,4,59
S00089718,126,6,14,15,9,82
S00089719,142,6,14,18,16,88
S00089720,130,7,14,19,15,75
S00089721,128,10,15,10,7,86
S00089722,87,3,10,14,4,56
S00089723,48,0,8,8,2,30
S00089724,69,6,6,8,8,41
S00089725,73,5,12,7,5,44
S00089726,93,6,14,11,7,55
S00089727,84,8,5,10,5,56
S00089728,80,7,15,10,5,43
S00089729,125,8,15,15,13,74
S00089730,77,7,8,9,7,46
S00089731,92,5,12,11,3,61
S00089732,145,25,18,15,8,79
S00089733,87,7,10,14,10,46
S00089734,82,16,9,6,10,41
S00089735,72,0,9,17,6,40
S00089736,76,3,9,9,9,46
S00089737,81,9,9,9,10,44
S00089738,61,8,9,5,12,27
S00089739,79,11,15,15,8,30
S00089740,109,7,19,10,10,63
S00089741,88,6,8,14,3,57
S00089742,116,7,20,12,9,68
S00089743,114,5,8,10,3,88
S00089744,70,2,4,7,5,52
S00089745,102,3,7,12,8,72
S00089746,88,3,12,10,9,54
S00089747,78,4,1,7,8,58
S00089748,94,0,9,17,4,64
S00089749,53,2,6,7,6,32
